subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeft
lala 1 1.2 1 first 17 1 1 6 7.98 0.01999831199646 0 1 1 1
lala 1 1.2 0 second 0 1 2 4 2.64 0.01999831199646 -1 0 -1 0
lala 1 1.2 1 second 3 1 3 5 6.65 0.01999831199646 -1 1 1 1
lala 1 1.2 0 second 8 1 4 5 3.3 0.01999831199646 1 0 -1 1
lala 1 1.2 1 first 9 1 5 5 6.65 0.01999831199646 1 1 1 1
lala 1 1.2 1 second 11 1 6 6 7.98 0.01999831199646 1 1 1 0
lala 2 1.2 0 first 0 1 7 4 3.84 0.01999831199646 -1 0 -1 0
lala 1 1.2 0 first 6 1 8 4 2.64 0.01999831199646 1 0 -1 1
lala 1 1.2 0 second 4 1 9 6 3.96 0.01999831199646 -1 0 -1 1
lala 1 1.2 0 first 2 1 10 5 3.3 0.01999831199646 -1 0 -1 1
lala 1 1.2 0 first 12 1 11 4 2.64 0.01999831199646 0 0 -1 0
lala 1 1.2 0 second 16 1 12 6 3.96 0.01999831199646 0 0 -1 1
lala 1 1.2 1 first 15 1 13 5 6.65 0.01999831199646 0 1 1 0
lala 1 1.2 1 second 13 1 14 4 5.32 0.01999831199646 0 1 1 1
lala 1 1.2 0 first 14 1 15 5 3.3 0.01999831199646 0 0 -1 1
lala 2 1.2 1 first 15 1 16 5 5.45 0.01999831199646 0 1 1 1
lala 2 1.2 1 first 11 1 17 6 6.780001 0.01999831199646 1 1 1 0
lala 2 1.2 1 second 3 1 18 5 5.45 0.01999831199646 -1 1 1 1
lala 2 1.2 0 first 14 1 19 5 4.5 0.01999831199646 0 0 -1 1
lala 2 1.2 0 second 8 1 20 5 4.5 0.01999831199646 1 0 -1 0
lala 1 1.2 0 first 10 1 21 6 3.96 0.01999831199646 1 0 -1 1
lala 1 1.2 1 first 7 1 22 4 5.32 0.01999831199646 1 1 1 0
lala 2 1.2 0 second 12 1 23 4 3.84 0.01999831199646 0 0 -1 1
lala 2 1.2 0 second 10 1 24 6 5.16 0.01999831199646 1 0 -1 0
lala 2 1.2 1 first 7 1 25 4 4.12 0.01999831199646 1 1 1 0
lala 1 1.2 1 second 5 1 26 6 7.98 0.01999831199646 -1 1 1 1
lala 2 1.2 0 second 6 1 27 4 3.84 0.01999831199646 1 0 -1 0
lala 3 1.2 0 first 15 1 28 5 4.25 0.01999831199646 0 1 -1 1
lala 2 1.2 0 first 2 1 29 5 4.5 0.01999831199646 -1 0 -1 0
lala 3 1.2 1 first 10 1 30 6 6.36 0.01999831199646 1 0 1 1
lala 4 1.2 1 second 15 1 31 5 5.45 0.01999831199646 0 1 1 0
lala 3 1.2 1 first 6 1 32 4 5.04 0.01999831199646 1 0 1 0
lala 4 1.2 0 second 6 1 33 4 3.84 0.01999831199646 1 0 -1 1
lala 2 1.2 1 first 13 1 34 4 4.12 0.01999831199646 0 1 1 0
lala 2 1.2 0 first 16 1 35 6 5.16 0.01999831199646 0 0 -1 0
lala 3 1.2 0 first 13 1 36 4 2.92 0.01999831199646 0 1 -1 0
lala 3 1.2 1 second 8 1 37 5 5.7 0.01999831199646 1 0 1 1
lala 2 1.2 1 second 9 1 38 5 5.45 0.01999831199646 1 1 1 1
lala 4 1.2 0 second 8 1 39 5 4.5 0.01999831199646 1 0 -1 1
lala 2 1.2 0 second 4 1 40 6 5.16 0.01999831199646 -1 0 -1 1
lala 3 1.2 1 first 14 1 41 5 5.7 0.01999831199646 0 0 1 0
lala 5 0.6 0 first 15 1 42 5 4.85 0.01999831199646 0 1 -1 0
lala 5 0.6 1 second 6 1 43 4 4.44 0.01999831199646 1 0 1 1
lala 2 1.2 1 first 17 1 44 6 6.780001 0.01999831199646 0 1 1 0
lala 3 1.2 1 second 2 1 45 5 5.7 0.01999831199646 -1 0 1 0
lala 6 0.3 1 second 15 1 46 5 5.15 0.01999831199646 0 1 1 1
lala 3 1.2 1 first 4 1 47 6 6.36 0.01999831199646 -1 0 1 0
lala 4 1.2 0 second 14 1 48 5 4.5 0.01999831199646 0 0 -1 1
lala 4 1.2 0 second 4 1 49 6 5.16 0.01999831199646 -1 0 -1 1
lala 5 0.6 0 first 4 1 50 6 5.76 0.01999831199646 -1 0 -1 1
lala 5 0.6 1 second 14 1 51 5 5.1 0.01999831199646 0 0 1 1
lala 7 0.15 1 first 15 1 52 5 5 0.01999831199646 0 1 1 1
lala 1 1.2 1 first 1 1 53 4 5.32 0.01999831199646 -1 1 1 1
lala 8 0.15 0 first 15 1 54 5 4.85 0.01999831199646 0 1 -1 0
lala 4 1.2 1 first 13 1 55 4 4.12 0.01999831199646 0 1 1 0
lala 4 1.2 0 second 10 1 56 6 5.16 0.01999831199646 1 0 -1 0
lala 3 1.2 0 first 11 1 57 6 5.580001 0.01999831199646 1 1 -1 0
lala 3 1.2 1 first 12 1 58 4 5.04 0.01999831199646 0 0 1 0
lala 3 1.2 0 second 7 1 59 4 2.92 0.01999831199646 1 1 -1 0
lala 3 1.2 1 second 16 1 60 6 6.36 0.01999831199646 0 0 1 1
lala 3 1.2 1 second 0 1 61 4 5.04 0.01999831199646 -1 0 1 1
lala 9 0.075 0 second 15 1 62 5 4.925 0.01999831199646 0 1 -1 1
lala 6 0.3 0 second 14 1 63 5 4.8 0.01999831199646 0 0 -1 1
lala 5 0.6 1 second 8 1 64 5 5.1 0.01999831199646 1 0 1 1
lala 4 1.2 0 second 12 1 65 4 3.84 0.01999831199646 0 0 -1 0
lala 6 0.6 1 first 4 1 66 6 6.36 0.01999831199646 -1 0 1 1
lala 4 1.2 0 first 2 1 67 5 4.5 0.01999831199646 -1 0 -1 0
lala 2 1.2 1 first 5 1 68 6 6.780001 0.01999831199646 -1 1 1 1
lala 3 1.2 0 first 5 1 69 6 5.580001 0.01999831199646 -1 1 -1 0
lala 6 0.3 1 second 6 1 70 4 4.14 0.01999831199646 1 0 1 0
lala 7 0.15 0 first 14 1 71 5 4.95 0.01999831199646 0 0 -1 1
lala 4 1.2 1 second 7 1 72 4 4.12 0.01999831199646 1 1 1 0
lala 8 0.15 1 second 14 1 73 5 5.1 0.01999831199646 0 0 1 1
lala 9 0.075 1 first 14 1 74 5 5.025 0.01999831199646 0 0 1 0
lala 4 1.2 1 first 11 1 75 6 6.780001 0.01999831199646 1 1 1 1
lala 4 1.2 0 second 0 1 76 4 3.84 0.01999831199646 -1 0 -1 0
lala 3 1.2 0 first 17 1 77 6 5.580001 0.01999831199646 0 1 -1 1
lala 10 0.075 0 second 14 1 78 5 4.95 0.01999831199646 0 0 -1 1
lala 7 0.3 0 first 6 1 79 4 3.84 0.01999831199646 1 0 -1 0
lala 4 1.2 1 first 17 1 80 6 6.780001 0.01999831199646 0 1 1 1
lala 8 0.15 0 second 6 1 81 4 3.99 0.01999831199646 1 0 -1 0
lala 4 1.2 1 first 5 1 82 6 6.780001 0.01999831199646 -1 1 1 0
lala 5 0.6 0 first 13 1 83 4 3.52 0.01999831199646 0 1 -1 0
lala 5 0.6 1 second 11 1 84 6 6.180001 0.01999831199646 1 1 1 0
lala 6 0.3 0 second 8 1 85 5 4.8 0.01999831199646 1 0 -1 0
lala 6 0.3 0 first 13 1 86 4 3.82 0.01999831199646 0 1 -1 1
lala 3 1.2 0 first 9 1 87 5 4.25 0.01999831199646 1 1 -1 1
lala 7 0.3 1 first 13 1 88 4 4.12 0.01999831199646 0 1 1 1
lala 9 0.15 1 second 6 1 89 4 4.14 0.01999831199646 1 0 1 1
lala 10 0.075 0 second 15 1 90 5 5 0.01999831199646 0 1 -1 1
lala 5 0.6 1 second 0 1 91 4 4.44 0.01999831199646 -1 0 1 0
lala 5 0.6 1 second 17 1 92 6 6.180001 0.01999831199646 0 1 1 0
lala 11 0.0375 0 second 14 1 93 5 4.9875 0.01999831199646 0 0 -1 0
lala 4 1.2 1 first 9 1 94 5 5.45 0.01999831199646 1 1 1 1
lala 7 0.15 0 first 8 1 95 5 4.95 0.01999831199646 1 0 -1 0
lala 12 0.0375 1 first 14 1 96 5 5.025 0.01999831199646 0 0 1 1
lala 11 0.075 1 first 15 1 97 5 5.074999 0.01999831199646 0 1 1 0
lala 7 0.3 1 second 4 1 98 6 6.059999 0.01999831199646 -1 0 1 1
lala 6 0.3 1 second 0 1 99 4 4.14 0.01999831199646 -1 0 1 0
lala 5 0.6 1 first 2 1 100 5 5.1 0.01999831199646 -1 0 1 1
lala 5 0.6 1 first 12 1 101 4 4.44 0.01999831199646 0 0 1 0
lala 8 0.15 1 second 8 1 102 5 5.1 0.01999831199646 1 0 1 0
lala 5 0.6 0 second 9 1 103 5 4.85 0.01999831199646 1 1 -1 0
lala 7 0.3 0 second 0 1 104 4 3.84 0.01999831199646 -1 0 -1 0
lala 10 0.075 1 second 6 1 105 4 4.065 0.01999831199646 1 0 1 1
lala 5 0.6 0 first 10 1 106 6 5.76 0.01999831199646 1 0 -1 1
lala 5 0.6 0 second 7 1 107 4 3.52 0.01999831199646 1 1 -1 0
lala 6 0.6 0 second 11 1 108 6 5.580001 0.01999831199646 1 1 -1 0
lala 6 0.3 0 first 2 1 109 5 4.8 0.01999831199646 -1 0 -1 1
lala 8 0.3 0 first 4 1 110 6 5.759999 0.01999831199646 -1 0 -1 0
lala 13 0.01875 1 first 14 1 111 5 5.00625 0.01999831199646 0 0 1 0
lala 5 0.6 1 second 5 1 112 6 6.180001 0.01999831199646 -1 1 1 0
lala 6 0.3 1 first 9 1 113 5 5.15 0.01999831199646 1 1 1 1
lala 6 0.3 1 first 12 1 114 4 4.14 0.01999831199646 0 0 1 1
lala 7 0.15 1 first 9 1 115 5 5 0.01999831199646 1 1 1 1
lala 6 0.6 0 first 17 1 116 6 5.580001 0.01999831199646 0 1 -1 0
lala 8 0.15 0 second 0 1 117 4 3.99 0.01999831199646 -1 0 -1 0
lala 6 0.6 0 second 5 1 118 6 5.580001 0.01999831199646 -1 1 -1 1
lala 6 0.3 0 second 7 1 119 4 3.82 0.01999831199646 1 1 -1 1
