subject,PestNr,Step_Size_OnTrial,Pest_Faster,Pest_Interval,Condition,block,trial,velH,velH_Pest,Reaction_Time,velH_Subject,Start_Above,Response_MotionEstimation,RightOrLeft
lala,1,1.2,1,second,3,1,1,5,6.65,0.61999774,-1,1,1,0
lala,1,1.2,0,second,8,1,2,5,3.3,1.239997149,1,0,-1,0
lala,1,1.2,1,second,7,1,3,4,5.32,0.359997988,1,1,1,0
lala,1,1.2,1,first,13,1,4,4,5.32,0.479997873,0,1,1,0
lala,1,1.2,0,first,5,1,5,6,7.98,1.159997225,-1,1,-1,1
lala,1,1.2,0,second,4,1,6,6,3.96,0.759997606,-1,0,-1,0
lala,2,1.2,1,first,5,1,7,6,9.18,0.83999753,-1,1,1,1
lala,1,1.2,0,second,10,1,8,6,3.96,1.499996901,1,0,-1,0
lala,1,1.2,0,first,1,1,9,4,5.32,2.679996014,-1,1,-1,1
lala,1,1.2,1,second,17,1,10,6,7.98,0.299998045,0,1,1,1
lala,2,1.2,0,second,8,1,11,5,4.5,0.639997721,1,0,-1,1
lala,1,1.2,0,first,6,1,12,4,2.64,0.699997663,1,0,-1,1
lala,2,1.2,1,first,13,1,13,4,4.12,1.27999711,0,1,1,0
lala,1,1.2,0,first,0,1,14,4,2.64,0.559997797,-1,0,-1,0
lala,3,1.2,1,second,8,1,15,5,5.7,0.439997911,1,0,1,1
lala,1,1.2,1,second,16,1,16,6,3.96,0.659997702,0,0,1,0
lala,2,1.2,0,first,6,1,17,4,3.84,0.479997873,1,0,-1,0
lala,2,1.2,0,second,3,1,18,5,5.45,0.419997931,-1,1,-1,1
lala,1,1.2,1,second,9,1,19,5,6.65,0.259998083,1,1,1,1
lala,4,1.2,0,first,8,1,20,5,4.5,0.759997606,1,0,-1,1
lala,2,1.2,0,second,16,1,21,6,2.76,0.499997854,0,0,-1,0
lala,1,1.2,1,first,15,1,22,5,6.65,1.259997129,0,1,1,1
lala,2,1.2,0,second,0,1,23,4,3.84,0.39999795,-1,0,-1,0
lala,1,1.2,1,first,11,1,24,6,7.98,0.939997435,1,1,1,1
lala,3,1.2,1,second,5,1,25,6,7.98,1.639997005,-1,1,1,1
lala,3,1.2,0,first,0,1,26,4,5.04,0.659997702,-1,0,-1,1
lala,4,1.2,1,first,0,1,27,4,6.24,0.979997396,-1,0,1,0
lala,4,1.2,0,second,5,1,28,6,6.780001,1.339997053,-1,1,-1,0
lala,3,1.2,0,second,16,1,29,6,3.96,0.319998026,0,0,-1,1
lala,3,1.2,1,first,3,1,30,5,6.65,1.659996986,-1,1,1,1
lala,3,1.2,1,first,6,1,31,4,5.04,2.679996014,1,0,1,0
lala,2,1.2,0,first,4,1,32,6,5.16,0.61999774,-1,0,-1,1
lala,3,1.2,0,first,4,1,33,6,6.36,0.379997969,-1,0,-1,1
lala,3,1.2,0,second,13,1,34,4,2.92,1.159997225,0,1,-1,1
lala,5,1.2,0,first,8,1,35,5,5.7,0.719997644,1,0,-1,0
lala,4,1.2,1,second,3,1,36,5,5.45,0.61999774,-1,1,1,1
lala,2,1.2,1,second,11,1,37,6,6.780001,0.459997892,1,1,1,0
lala,2,1.2,0,first,1,1,38,4,6.52,1.099997282,-1,1,-1,1
lala,2,1.2,1,first,17,1,39,6,6.780001,1.259997129,0,1,1,1
lala,6,1.2,1,second,8,1,40,5,6.9,1.459996939,1,0,1,0
lala,1,1.2,0,second,12,1,41,4,2.64,0.419997931,0,0,-1,1
lala,7,1.2,0,first,8,1,42,5,5.7,1.799996853,1,0,-1,0
lala,2,1.2,1,first,7,1,43,4,4.12,1.539996862,1,1,1,1
lala,2,1.2,0,first,10,1,44,6,5.16,0.239998102,1,0,-1,0
lala,2,1.2,0,first,9,1,45,5,5.45,0.319998026,1,1,-1,1
lala,8,1.2,1,first,8,1,46,5,6.9,0.319998026,1,0,1,1
lala,4,1.2,1,second,6,1,47,4,3.84,0.719997644,1,0,1,0
lala,3,1.2,1,first,1,1,48,4,7.72,1.159997225,-1,1,1,0
lala,4,1.2,1,first,13,1,49,4,4.12,0.83999753,0,1,1,0
lala,5,1.2,1,first,3,1,50,5,4.25,1.239997149,-1,1,1,0
lala,3,1.2,0,first,7,1,51,4,2.92,0.659997702,1,1,-1,1
lala,9,1.2,1,first,8,1,52,5,5.7,0.339998007,1,0,1,1
lala,5,1.2,0,second,6,1,53,4,2.64,1.47999692,1,0,-1,1
lala,6,1.2,1,first,6,1,54,4,3.84,0.319998026,1,0,1,0
lala,5,1.2,0,second,0,1,55,4,5.04,0.939997435,-1,0,-1,1
lala,10,1.2,0,first,8,1,56,5,4.5,1.159997225,1,0,-1,0
lala,6,1.2,1,second,0,1,57,4,6.24,0.319998026,-1,0,1,0
lala,4,1.2,0,first,16,1,58,6,5.16,0.299998045,0,0,-1,0
lala,3,1.2,1,second,9,1,59,5,6.65,0.679997683,1,1,1,1
lala,7,1.2,0,first,6,1,60,4,2.64,0.639997721,1,0,-1,0
lala,8,1.2,1,first,6,1,61,4,3.84,0.339998007,1,0,1,1
lala,5,1.2,1,first,16,1,62,6,6.36,1.219997168,0,0,1,0
lala,4,1.2,1,second,4,1,63,6,7.559999,0.319998026,-1,0,1,0
lala,11,0.6,1,second,8,1,64,5,5.1,1.599996805,1,0,1,1
lala,1,1.2,0,second,14,1,65,5,3.3,0.61999774,0,0,-1,0
lala,3,1.2,1,second,11,1,66,6,5.580001,0.499997854,1,1,1,1
lala,2,1.2,0,second,15,1,67,5,5.45,0.819997549,0,1,-1,1
lala,5,1.2,0,second,5,1,68,6,7.98,1.699996948,-1,1,-1,1
lala,6,1.2,1,second,16,1,69,6,5.16,1.159997225,0,0,1,0
lala,6,1.2,0,first,3,1,70,5,3.05,0.079998255,-1,1,-1,1
lala,4,1.2,1,second,9,1,71,5,5.45,0.259998083,1,1,1,1
lala,4,1.2,1,second,1,1,72,4,6.52,0.359997988,-1,1,1,0
lala,7,1.2,0,first,3,1,73,5,4.25,0.439997911,-1,1,-1,0
lala,5,1.2,1,second,13,1,74,4,2.92,1.399996996,0,1,1,0
lala,5,1.2,0,first,4,1,75,6,6.36,1.879996777,-1,0,-1,0
lala,1,1.2,0,second,2,1,76,5,3.3,0.439997911,-1,0,-1,1
lala,6,1.2,0,first,13,1,77,4,1.72,0.439997911,0,1,-1,1
lala,8,1.2,1,second,3,1,78,5,5.45,1.539996862,-1,1,1,1
lala,2,1.2,1,second,14,1,79,5,4.5,1.219997168,0,0,1,1
lala,7,1.2,0,first,0,1,80,4,5.04,1.259997129,-1,0,-1,1
lala,9,1.2,0,second,3,1,81,5,4.25,0.819997549,-1,1,-1,0
lala,12,0.3,1,first,8,1,82,5,4.8,1.119997263,1,0,1,0
lala,3,1.2,1,second,17,1,83,6,5.580001,0.699997663,0,1,1,0
lala,3,1.2,0,second,14,1,84,5,3.3,0.559997797,0,0,-1,0
lala,6,1.2,0,second,4,1,85,6,7.559999,1.27999711,-1,0,-1,1
lala,3,1.2,1,first,10,1,86,6,6.36,1.659996986,1,0,1,0
lala,9,1.2,1,first,6,1,87,4,2.64,1.519996881,1,0,1,1
lala,3,1.2,1,second,15,1,88,5,6.65,2.039996624,0,1,1,0
lala,4,1.2,0,first,17,1,89,6,4.380001,1.699996948,0,1,-1,0
lala,13,0.3,1,first,8,1,90,5,4.5,2.319996357,1,0,1,0
lala,5,1.2,0,first,9,1,91,5,4.25,0.639997721,1,1,-1,0
lala,4,1.2,0,first,14,1,92,5,4.5,0.459997892,0,0,-1,0
lala,5,1.2,1,first,14,1,93,5,5.7,0.559997797,0,0,1,0
lala,4,1.2,1,second,7,1,94,4,4.12,1.47999692,1,1,1,0
lala,6,1.2,1,first,5,1,95,6,9.18,0.779997587,-1,1,1,1
lala,7,1.2,0,second,13,1,96,4,2.92,1.179997206,0,1,-1,0
lala,7,1.2,0,second,16,1,97,6,3.96,1.979996681,0,0,-1,0
lala,4,1.2,1,first,10,1,98,6,5.16,0.279998064,1,0,1,1
lala,8,1.2,0,first,16,1,99,6,5.16,0.859997511,0,0,-1,0
lala,2,1.2,1,second,12,1,100,4,3.84,7.74004221,0,0,1,0
lala,14,0.3,0,first,8,1,101,5,4.199999,0.379997969,1,0,-1,0
lala,9,1.2,1,second,16,1,102,6,6.36,0.259998083,0,0,1,1
lala,4,1.2,0,second,11,1,103,6,4.380001,0.559997797,1,1,-1,0
lala,5,1.2,1,first,17,1,104,6,5.580001,0.359997988,0,1,1,1
lala,2,1.2,0,second,2,1,105,5,4.5,0.459997892,-1,0,-1,1
lala,8,1.2,1,second,0,1,106,4,6.24,0.239998102,-1,0,1,1
lala,6,1.2,1,first,9,1,107,5,5.45,0.259998083,1,1,1,0
lala,3,1.2,0,first,12,1,108,4,2.64,1.47999692,0,0,-1,0
lala,8,1.2,1,first,13,1,109,4,4.12,1.219997168,0,1,1,1
lala,15,0.15,1,second,8,1,110,5,4.349999,0.39999795,1,0,1,0
lala,7,1.2,1,first,4,1,111,6,8.759999,0.519997835,-1,0,1,0
lala,5,1.2,1,first,11,1,112,6,5.580001,1.659996986,1,1,1,0
lala,7,1.2,1,second,5,1,113,6,7.98,0.939997435,-1,1,1,1
lala,4,1.2,0,first,15,1,114,5,5.45,1.419996977,0,1,-1,1
lala,6,1.2,0,second,17,1,115,6,4.380001,0.239998102,0,1,-1,1
