trial Response_Time velH Occlusion_Duration AdjustByVelHInitial AdjustmentVelH DurationAdjustment
1 0.7599998 8 0.7 2.6 3.599995 6.499994
2 0.26 6 0.6 -1.2 2.500002 2.899997
3 0.9799996 -4 0.7 -0.4 -2.300002 4.359996
4 0.8799997 -6 0.6 1.6 -2.400002 3.019997
5 0.52 4 0.5 3.8 3.900004 2.579998
6 0.7399998 -4 0.7 -2 -3.100003 1.859998
7 0.7399998 4 0.5 2.8 4.000003 3.479997
8 0.8399997 4 0.5 2.6 2.700004 2.419998
9 1.04 -8 0.5 -3 -3.899993 3.719997
10 1.159999 -8 0.5 -0.6 -4.100002 2.259998
11 0.9799996 -8 0.5 -3 -3.199994 3.179997
12 0.8799997 -1 1 -5 -0.9000036 2.599998
13 1.379999 8 0.7 -3.8 2.700001 4.099997
14 1.319999 8 0.7 1.8 3.199998 3.539997
15 1.339999 6 0.6 2.8 1.700003 4.719996
16 0.9799996 4 0.5 2.4 2.700004 3.639997
17 1.319999 8 0.7 -2.6 2.300003 2.599998
18 1.219999 -8 0.5 3.6 -3.000001 3.439997
19 1.279999 6 0.6 2.4 1.500004 4.299996
20 1.439999 8 0.7 -3.4 2.400002 2.539998
21 1.459999 8 0.7 1.2 2.900001 4.099997
22 1.399999 8 0.7 -0.6 3.300004 2.439998
23 1.04 -6 0.6 -3 -2.900002 2.959997
24 1.08 -6 0.6 -3.6 -3 3.959997
25 1.179999 -6 0.6 -1.8 -1.800006 3.479997
26 1.219999 -4 0.7 -4 -2.800005 4.779996
27 1.479999 8 0.7 -3.4 3.000001 2.959997
28 1.459999 -8 0.5 -2.8 -2.999995 5.239995
29 1.359999 -6 0.6 3.2 -2.9 2.459998
30 1.219999 -4 0.7 3.6 -3.099999 2.419998
31 0.9799996 6 0.6 1.2 2.500004 3.699997
32 1.199999 8 0.7 0.2 2.400005 4.019997
33 1.199999 -6 0.6 -2 -2.900005 5.059996
34 0.6999999 4 0.5 1.4 3.400002 2.279998
35 0.7399998 -4 0.7 0.2 -3.000001 3.059997
36 1.12 -8 0.5 3.2 -3.100002 3.599997
37 1.299999 -8 0.5 2.8 -3.300002 2.239998
38 1.199999 6 0.6 3.6 3.499999 4.219996
39 1.219999 8 0.7 -3.2 2.500002 2.599998
40 0.58 12 0.2 -6 7.499999 3.059997
41 1.04 -4 0.7 -2.8 -3.600003 1.999998
42 0.9399996 -4 0.7 1.8 -4.299998 2.619998
43 1.02 6 0.6 3.4 4.599998 3.159997
44 1.259999 -6 0.6 -3.8 -2.399999 3.519997
45 0.6599999 4 0.5 -2.4 5.099997 2.959997
46 0.8199998 4 0.5 2.2 3.100003 2.219998
47 1.219999 -6 0.6 -2 -2.100006 2.339998
48 1.199999 8 0.7 -3.8 2.700001 3.379997
49 1.439999 8 0.7 3.6 2.899992 3.659997
