trial Response_Time velH Occlusion_Duration AdjustByVelHInitial AdjustmentVelH DurationAdjustment
1 0.4600001 6 0.6 -2.8 2.200001 2.679998
2 0.7199998 -8 0.5 -1.8 -5.999996 4.179996
3 2.139999 6 0.6 4 4.699996 4.579996
4 0.7599998 4 0.5 4 5.400002 1.919998
5 0.8399997 -6 0.6 -1 -5.000002 2.619998
6 0.9199997 8 0.7 0.2 5.500002 4.559996
7 0.6 4 0.5 -2.6 5.299997 4.919996
8 0.9799996 8 0.7 -3.6 4 3.639997
9 0.7999998 6 0.6 -1.8 3.5 2.059998
10 1.399999 -4 0.7 1.6 -5.299997 4.079997
11 0.7399998 -4 0.7 -1.8 -4.400002 2.059998
12 1.08 -8 0.5 3.8 -3.7 1.119999
13 0.7599998 -4 0.7 -3.2 -4.900002 2.119998
14 0.52 4 0.5 1.6 4.900001 2.059998
15 0.8599997 -8 0.5 -1 -6.699998 2.599998
16 0.7199998 -6 0.6 3.6 -3.999999 2.719998
17 0.8599997 6 0.6 0.6 4.300002 2.439998
18 0.8999997 -6 0.6 2.2 -6.099998 2.399998
19 0.8599997 6 0.6 3.4 4.999998 4.659996
20 1.04 -4 0.7 2.6 -4.599998 3.719997
21 0.6999999 4 0.5 1.2 5.799999 4.859996
22 0.8599997 6 0.6 -3 4.799998 4.159997
23 0.8799997 6 0.6 0.8 4.300003 2.879997
24 1.08 8 0.7 -2.2 5.6 1.819999
25 0.7399998 4 0.5 3.4 4.500003 2.739998
26 0.9599996 8 0.7 -0.8 5.400002 2.519998
27 0.9599996 8 0.7 0.6 5.100001 2.699998
28 0.9799996 8 0.7 1.8 6.499995 3.079997
29 0.6599999 12 0.2 -6 7.999998 2.679998
30 1.04 -8 0.5 3.6 -4.8 4.099997
31 0.7199998 4 0.5 -3.8 5.599997 4.679996
32 0.7999998 -6 0.6 1.2 -4.300001 1.619999
33 0.7799998 6 0.6 -3.8 4.799998 2.539998
34 0.7999998 8 0.7 -2.2 4.600001 2.019998
35 0.8599997 6 0.6 -2.2 3.3 1.579999
36 0.9999996 8 0.7 -3.6 4.4 1.539999
37 0.54 4 0.5 0 4.899999 2.219998
38 0.9799996 -4 0.7 0.8 -4.799999 1.919998
39 1.04 -8 0.5 2.6 -4.000001 3.199997
40 0.8199998 8 0.7 2.4 5.799993 3.859997
41 0.7599998 -6 0.6 -3.8 -5.799996 5.199996
42 0.7599998 8 0.7 -3.6 4 1.539999
43 0.6 6 0.6 -0.2 4.700001 1.859998
44 0.7199998 6 0.6 -2.2 4.799999 2.699998
45 74.39953 -4 0.7 0.6 -4.999999 1.619999
46 0.6599999 -6 0.6 2.2 -3.4 2.859998
47 0.7199998 6 0.6 0.4 5.800001 1.339999
48 0.8599997 8 0.7 0.4 4.600002 3.839997
49 0.6799999 6 0.6 -2.8 4.399999 2.079998
50 2.059999 6 0.6 1.8 5.300003 1.959998
