subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeftxRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5 xRotations_second0 xRotations_second1 xRotations_second2 xRotations_second3 xRotations_second4 xRotations_second5 yRotations_second0 yRotations_second1 yRotations_second2 yRotations_second3 yRotations_second4 yRotations_second5
lala 1 1.2 1 first 0 1 1 3 3.99 1.37999701499939 0 1 1 0 0.003969927 0.003595323 0.002867957 0.002937603 0.003107398 1000 0.004773933 0.00527241 0.004812429 0.004171392 0.003468603 1000 0.002398245 0.002841279 0.002730168 0.002617521 0.002624816 1000 0.004500792 0.003756095 0.002730168 0.004419983 0.004534678 1000
lala 2 1.2 0 first 0 1 2 3 2.79 0.859997510910034 0 1 -1 0 0.0004280284 0.0006245451 0.000320629 9.854884E-05 -3.278702E-05 1000 0.005240832 0.005081161 0.004799345 0.004956998 0.004836407 1000 -0.001167837 -0.001263931 -0.00141547 -0.0009796889 -0.001111344 1000 0.005707884 0.006085446 -0.00141547 0.005580797 0.005579508 1000
lala 3 1.2 1 first 0 1 3 3 3.99 0.939997434616089 0 1 1 1 -0.003080612 -0.00299268 -0.003191914 -0.003348742 -0.002746164 1000 0.004872498 0.004783542 0.004788971 0.004727499 0.004714507 1000 -0.002832395 -0.003104519 -0.003443174 -0.003603565 -0.0036394 1000 0.005233844 0.005251414 -0.003443174 0.006628068 0.007325212 1000
lala 4 1.2 0 first 0 1 4 3 2.79 1.5399968624115 0 1 -1 0 -0.003227477 -0.003549745 -0.003668308 -0.003684211 -0.00386118 1000 0.006863449 0.007257779 0.006718828 0.006577046 0.007478207 1000 -0.004853734 -0.005028327 -0.004321411 -0.004182779 -0.004616882 1000 0.006596358 0.005807593 -0.004321411 0.005183717 0.005320936 1000
lala 5 0.6 1 second 0 1 5 3 3.39 0.979997396469116 0 1 1 0 -0.0199586 -0.01983024 -0.02006296 -0.02008184 -0.01995872 1000 0.008896196 0.00863256 0.008982174 0.008990332 0.008894016 1000 -0.0201531 -0.02018807 -0.0206206 -0.02035332 -0.02043714 1000 0.009281299 0.00908359 -0.0206206 0.008279274 0.008382648 1000
lala 6 0.3 1 second 0 1 6 3 3.09 0.819997549057007 0 1 1 1 -0.01959077 -0.01950395 -0.0194076 -0.01933707 -0.01951643 1000 0.008726046 0.008927707 0.008497285 0.008309197 0.008751205 1000 -0.01970527 -0.01995265 -0.02024371 -0.02044087 -0.02037055 1000 0.008736582 0.008837115 -0.02024371 0.009163971 0.008728154 1000
lala 7 0.3 1 first 0 1 7 3 2.79 1.7199969291687 0 1 1 1 -0.01933032 -0.01936583 -0.01904101 -0.0189796 -0.01863318 1000 0.007740292 0.008125594 0.00877456 0.008711953 0.008354817 1000 -0.01970246 -0.02021683 -0.01999552 -0.02019992 -0.02026889 1000 0.008912907 0.008883035 -0.01999552 0.008576484 0.009214816 1000
lala 8 0.3 0 first 0 1 8 3 2.49 0.339998006820679 0 1 -1 1 -0.02041377 -0.02038786 -0.02068277 -0.02052626 -0.0205736 1000 0.008922388 0.009521784 0.01003522 0.009961371 0.009597159 1000 -0.02042313 -0.02019328 -0.02061861 -0.02065828 -0.02069162 1000 0.008494169 0.008581075 -0.02061861 0.009070701 0.009518232 1000
lala 9 0.15 1 second 0 1 9 3 2.640001 0.879997491836548 0 1 1 1 -0.01995925 -0.01975671 -0.0199651 -0.02002938 -0.019939 1000 0.009693678 0.009858369 0.0102855 0.01079813 0.01073293 1000 -0.01929699 -0.01920308 -0.01966266 -0.01961819 -0.01985977 1000 0.01104303 0.01096874 -0.01966266 0.01053761 0.01115766 1000
lala 10 0.075 1 second 0 1 10 3 2.565001 0.439997911453247 0 1 1 1 -0.01853956 -0.01878425 -0.01897509 -0.01898101 -0.01925338 1000 0.006612954 0.006647406 0.006755317 0.006855976 0.007401918 1000 -0.01908672 -0.01928625 -0.0190152 -0.01955668 -0.02015574 1000 0.007682547 0.006874274 -0.0190152 0.007061101 0.007127022 1000
lala 11 0.075 0 first 0 1 11 3 2.49 0.759997606277466 0 1 -1 1 -0.02142784 -0.02137621 -0.02102245 -0.02081715 -0.02068279 1000 0.00528712 0.005755458 0.006250191 0.00685357 0.007178173 1000 -0.02081718 -0.02057408 -0.02071516 -0.0211646 -0.02110282 1000 0.008045726 0.007481032 -0.02071516 0.007635245 0.007345287 1000
lala 12 0.0375 1 second 0 1 12 3 2.5275 0.39999794960022 0 1 1 0 -0.02232665 -0.02202613 -0.02162449 -0.02180635 -0.02204731 1000 0.005930718 0.005515945 0.005447944 0.005870908 0.006115758 1000 -0.02167132 -0.02191396 -0.02170776 -0.02183706 -0.02140532 1000 0.005655954 0.006250701 -0.02170776 0.005856881 0.005503357 1000
lala 13 0.01875 1 first 0 1 13 3 2.50875 0.519997835159302 0 1 1 0 -0.02312888 -0.02239966 -0.02227674 -0.02254588 -0.02224644 1000 0.004249191 0.003898003 0.00394941 0.004119033 0.004129581 1000 -0.02209915 -0.02196644 -0.02183229 -0.02137365 -0.02174831 1000 0.005083067 0.005253611 -0.02183229 0.004403549 0.004513411 1000
lala 14 0.01875 0 first 0 1 14 3 2.49 0.61999773979187 0 1 -1 1 -0.021587 -0.02196729 -0.02192308 -0.02195829 -0.02204169 1000 0.004405051 0.004348073 0.004427352 0.005085211 0.005765173 1000 -0.02285594 -0.02217883 -0.02245975 -0.0229474 -0.02292616 1000 0.004959614 0.004873785 -0.02245975 0.005339887 0.005722012 1000
