subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeftxRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5 xRotations_second0 xRotations_second1 xRotations_second2 xRotations_second3 xRotations_second4 xRotations_second5 yRotations_second0 yRotations_second1 yRotations_second2 yRotations_second3 yRotations_second4 yRotations_second5
lala 1 1.2 1 second 13 1 1 4 5.32 0.439997911453247 0 1 1 1 -0.009590114 -0.009794083 -0.01023521 -0.0101071 -0.009475071 1000 -0.009590114 -0.009794083 -0.01023521 -0.0101071 -0.009475071 1000 -0.008612183 -0.007964619 -0.007683987 -0.007220652 -0.006804262 1000 -0.008612183 -0.007964619 -0.007683987 -0.007220652 -0.006804262 1000
lala 1 1.2 0 first 8 1 2 5 3.3 2.11999654769897 1 0 -1 0 -0.007456593 -0.00777421 -0.007568904 1000 1000 1000 -0.007456593 -0.00777421 -0.007568904 1000 1000 1000 -0.006217844 -0.006185544 -0.00576892 -0.005332652 -0.00561041 1000 -0.006217844 -0.006185544 -0.00576892 -0.005332652 -0.00561041 1000
lala 1 1.2 0 second 6 1 3 4 2.64 1.01999735832214 1 0 -1 0 -0.008124977 -0.007536843 -0.007375714 -0.007002962 -0.007411536 1000 -0.008124977 -0.007536843 -0.007375714 -0.007002962 -0.007411536 1000 -0.008424251 -0.008332434 -0.008361574 -0.008377342 -0.008308423 1000 -0.008424251 -0.008332434 -0.008361574 -0.008377342 -0.008308423 1000
lala 1 1.2 1 first 7 1 4 4 5.32 3.51999521255493 1 1 1 1 -0.009166379 -0.009511301 -0.008816031 1000 1000 1000 -0.009166379 -0.009511301 -0.008816031 1000 1000 1000 -0.0117011 -0.01150974 -0.0117104 -0.01181594 -0.01188929 1000 -0.0117011 -0.01150974 -0.0117104 -0.01181594 -0.01188929 1000
lala 1 1.2 1 second 15 1 5 5 6.65 0.639997720718384 0 1 1 0 -0.01407105 -0.01395227 -0.0139607 -0.01365279 -0.01379089 1000 -0.01407105 -0.01395227 -0.0139607 -0.01365279 -0.01379089 1000 -0.01387998 -0.01381509 -0.01403861 -0.01400415 -0.01403691 1000 -0.01387998 -0.01381509 -0.01403861 -0.01400415 -0.01403691 1000
lala 1 1.2 0 first 14 1 6 5 3.3 0.579997777938843 0 0 -1 1 -0.01432452 -0.01476768 -0.01458281 1000 1000 1000 -0.01432452 -0.01476768 -0.01458281 1000 1000 1000 -0.01419154 -0.01374988 -0.0133083 -0.01270486 -0.0129678 1000 -0.01419154 -0.01374988 -0.0133083 -0.01270486 -0.0129678 1000
lala 1 1.2 0 first 2 1 7 5 3.3 1.11999726295471 -1 0 -1 1 -0.01498323 -0.01542018 -0.01488127 1000 1000 1000 -0.01498323 -0.01542018 -0.01488127 1000 1000 1000 -0.01453294 -0.01491484 -0.0147661 -0.01472385 -0.01497343 1000 -0.01453294 -0.01491484 -0.0147661 -0.01472385 -0.01497343 1000
lala 1 1.2 0 first 0 1 8 4 2.64 0.699997663497925 -1 0 -1 0 -0.0141528 -0.01589894 -0.01644437 1000 1000 1000 -0.0141528 -0.01589894 -0.01644437 1000 1000 1000 -0.01723111 -0.01720862 -0.0171185 -0.01691948 -0.01615235 1000 -0.01723111 -0.01720862 -0.0171185 -0.01691948 -0.01615235 1000
lala 1 1.2 0 first 16 1 9 6 3.96 0.61999773979187 0 0 -1 1 -0.01664297 -0.01665912 -0.01600541 1000 1000 1000 -0.01664297 -0.01665912 -0.01600541 1000 1000 1000 -0.01541461 -0.01519331 -0.01492677 -0.0148949 -0.01476396 1000 -0.01541461 -0.01519331 -0.01492677 -0.0148949 -0.01476396 1000
lala 2 1.2 1 second 16 1 10 6 5.16 1.07999730110168 0 0 1 1 -0.01430673 -0.0141212 -0.01445763 -0.01419863 -0.01425096 1000 -0.01430673 -0.0141212 -0.01445763 -0.01419863 -0.01425096 1000 -0.01467441 -0.01439058 -0.01396307 -0.01292057 -0.01310274 1000 -0.01467441 -0.01439058 -0.01396307 -0.01292057 -0.01310274 1000
