trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 2.459998 4.5 0.55 0 -0.02127166 -0.01849724 -0.01876788 -0.01835281 -0.01745685 1000 0.006562389 0.001243737 -0.002030915 -0.001800837 -0.00147887 1000
2 0.52 -4.5 0.65 0 -0.01435504 -0.01408297 -0.01351826 -0.01339607 -0.01379056 1000 -0.007576932 -0.007679923 -0.007201491 -0.007144522 -0.007701884 1000
3 0.34 2.5 0.45 0 -0.01100692 -0.01048434 -0.01088252 -0.01093161 -0.01044373 1000 -0.007751035 -0.007449177 -0.007711901 -0.008043952 -0.007849311 1000
4 0.36 2.5 0.55 0 -0.007945788 -0.007501694 -0.007543072 -0.007998183 -0.007336573 1000 -0.007879305 -0.007516333 -0.007723148 -0.008117566 -0.008094478 1000
5 0.7599998 4.5 0.65 0 -0.005042118 -0.005146553 -0.005703114 -0.005907737 -0.005653361 1000 -0.008878658 -0.008858105 -0.009105959 -0.009029448 -0.008877734 1000
6 0.34 3.5 0.65 0 -0.005590827 -0.005333651 -0.004991648 -0.005128888 -0.005285405 1000 -0.009617697 -0.009679396 -0.00939322 -0.009436783 -0.009873929 1000
7 0.42 -2.5 0.45 0 -0.006857781 -0.006416154 -0.00627835 -0.006538593 -0.006476859 1000 -0.01016271 -0.01031424 -0.01039158 -0.01036367 -0.01034012 1000
8 0.4 -3.5 0.65 0 -0.005125394 -0.005173823 -0.005683819 -0.005384794 -0.005349559 1000 -0.01136715 -0.01152928 -0.01193819 -0.01179466 -0.01162559 1000
9 0.6999999 -4.5 0.55 0 -0.006960979 -0.007218841 -0.007300902 -0.006836316 -0.006390404 1000 -0.01249216 -0.01292675 -0.01322756 -0.01288963 -0.01232495 1000
10 0.42 -2.5 0.65 0 -0.004709124 -0.004615059 -0.004383937 -0.004079158 -0.004416487 1000 -0.01248378 -0.0125214 -0.0123514 -0.01249765 -0.01276587 1000
11 0.6 4.5 0.45 0 -0.00481814 -0.00392813 -0.004398326 -0.004661956 -0.004489628 1000 -0.01444071 -0.0143661 -0.01431344 -0.01422426 -0.0138162 1000
12 0.4400001 -2.5 0.55 0 -0.001227886 -0.000916771 -0.001248133 -0.001497241 -0.001201172 1000 -0.01443335 -0.01436775 -0.01459464 -0.01448898 -0.01405314 1000
13 0.42 3.5 0.45 0 -0.0009015815 -0.001113915 -0.0006459345 -0.0001953189 -0.0003389931 1000 -0.01397775 -0.01413533 -0.01446781 -0.01449746 -0.01452807 1000
14 0.36 3.5 0.55 0 0.002454165 0.002704961 0.002263064 0.002360994 0.002417137 1000 -0.01532077 -0.01522752 -0.01551513 -0.01548234 -0.01528395 1000
15 0.56 -3.5 0.45 0 0.0009757667 0.0008545065 0.001306547 0.002145909 0.001964646 1000 -0.01566756 -0.01547299 -0.01581552 -0.01579832 -0.01569594 1000
16 0.54 -3.5 0.55 0 0.004525893 0.004515133 0.004718773 0.004863012 0.004728835 1000 -0.01625673 -0.01607165 -0.01585408 -0.01562073 -0.01576247 1000
17 0.38 -4.5 0.45 0 0.004525059 0.004979672 0.004694112 0.004596264 0.005047067 1000 -0.01629663 -0.01598429 -0.01602139 -0.0159518 -0.01589411 1000
18 0.52 2.5 0.65 0 0.007648447 0.007455139 0.007420694 0.00745553 0.007136148 1000 -0.01545299 -0.01583422 -0.01614976 -0.01622211 -0.01646244 1000
