subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeftxRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5 xRotations_second0 xRotations_second1 xRotations_second2 xRotations_second3 xRotations_second4 xRotations_second5 yRotations_second0 yRotations_second1 yRotations_second2 yRotations_second3 yRotations_second4 yRotations_second5
lala 1 1.2 1 first 0 1 1 3 3.99 0.61999773979187 0 1 1 0 -0.009097098 -0.008736116 -0.008591425 -0.009101394 -0.009653948 1000 0.008519604 0.007307233 0.006165456 0.005506403 0.006210854 1000 -0.009193448 -0.009063345 -0.008922816 -0.008466904 -0.008232072 1000 0.007434985 0.008494332 -0.008922816 0.009093999 0.009122537 1000
lala 2 1.2 1 first 0 1 2 3 2.79 0.859997510910034 0 1 1 1 -0.00469224 -0.004222619 -0.003979668 -0.003438112 -0.00351281 1000 0.01262252 0.01319512 0.01365103 0.013501 0.01347784 1000 -0.003880763 -0.003662436 -0.003619103 -0.003109619 -0.003387753 1000 0.01337063 0.01353785 -0.003619103 0.0135804 0.01378235 1000
lala 3 1.2 0 second 0 1 3 3 1.59 0.719997644424438 0 1 -1 1 -0.0004984436 -0.0005524386 -0.0003987313 -0.0003657003 -0.0003424893 1000 0.01054042 0.01071532 0.01074449 0.01057376 0.01060629 1000 -4.998317E-05 -0.0002126012 -0.0002744186 6.400154E-05 -0.0002019049 1000 0.01182461 0.01178288 -0.0002744186 0.01202574 0.01245837 1000
lala 4 1.2 0 second 0 1 4 3 2.79 3.97999477386475 0 1 -1 1 0.002217257 0.00256263 0.001950783 0.002149792 0.002939691 1000 0.01235916 0.01232632 0.0124898 0.01228675 0.01240224 1000 0.002546309 0.003103738 0.003039517 0.002601183 0.002647415 1000 0.01290043 0.0133594 0.003039517 0.0130815 0.01339686 1000
lala 5 1.2 1 first 0 1 5 3 3.99 1.57999682426453 0 1 1 1 -0.01091252 -0.01174267 -0.01160954 -0.01131787 -0.01158118 1000 0.001213277 0.001356731 0.001202085 0.001680149 0.002337368 1000 -0.0128674 -0.01155073 -0.0115004 -0.01157635 -0.01224476 1000 0.003952172 0.004686638 -0.0115004 0.00475711 0.005005342 1000
lala 6 0.6 1 second 0 1 6 3 3.39 0.279998064041138 0 1 1 1 -0.008798121 -0.009004627 -0.008596634 -0.008967036 -0.008678425 1000 0.005427612 0.005001999 0.005009967 0.005318117 0.005349208 1000 -0.008482426 -0.007941083 -0.00783889 -0.008189724 -0.008297226 1000 0.00586852 0.006155789 -0.00783889 0.005730575 0.005544008 1000
lala 7 0.6 0 second 0 1 7 3 2.79 1.81999683380127 0 1 -1 1 -0.00591243 -0.006264223 -0.006084226 -0.005840181 -0.005924764 1000 0.005962906 0.005264218 0.0052742 0.005606789 0.005567865 1000 -0.00519514 -0.00518545 -0.004960836 -0.005165659 -0.00481231 1000 0.006186755 0.005952508 -0.004960836 0.005814954 0.005578366 1000
lala 8 0.3 1 second 0 1 8 3 3.09 0.359997987747192 0 1 1 0 -0.004362871 -0.004541953 -0.004234714 -0.004234714 -0.004349565 1000 0.002752713 0.002914499 0.002631007 0.002631007 0.0029381 1000 -0.004654264 -0.004722189 -0.004903686 -0.004820389 -0.00541845 1000 0.003650304 0.003677579 -0.004903686 0.004003988 0.003881225 1000
lala 9 0.15 1 first 0 1 9 3 2.94 2.55999612808228 0 1 1 0 -0.004396302 -0.0041666 -0.004532313 -0.004735813 -0.004613753 1000 0.004919739 0.004649277 0.0044819 0.004300292 0.004506831 1000 -0.005535171 -0.005784126 -0.005348604 -0.005966631 -0.00594763 1000 0.003771517 0.003969759 -0.005348604 0.003803478 0.003637364 1000
lala 10 0.15 0 first 0 1 10 3 2.79 2.09999656677246 0 1 -1 1 -0.0119525 -0.01193519 -0.01313255 -0.01339123 -0.01412715 1000 0.002233559 0.0007778009 -7.403619E-05 0.001759342 0.002125051 1000 -0.01377616 -0.01411332 -0.01363677 -0.01350754 -0.01356971 1000 0.001208082 0.001057883 -0.01363677 0.0008201948 0.0007971349 1000
lala 11 0.075 1 second 0 1 11 3 2.865 2.95999574661255 0 1 1 0 -0.01188924 -0.01179496 -0.01198663 -0.01221893 -0.01198909 1000 -0.002712376 -0.003299929 -0.003430763 -0.004264995 -0.004284359 1000 -0.01295219 -0.01227412 -0.01205577 -0.01223071 -0.01232503 1000 -0.004040822 -0.00374913 -0.01205577 -0.003975207 -0.003986931 1000
lala 12 0.0375 0 first 0 1 12 3 2.8275 5.61999368667603 0 1 -1 0 -0.01256841 -0.01242608 -0.01237489 -0.01232625 -0.01232335 1000 -0.005131909 -0.005205103 -0.005211992 -0.005145507 -0.005544574 1000 -0.01171557 -0.01215154 -0.01224034 -0.01206251 -0.01205736 1000 -0.005537345 -0.005255781 -0.01224034 -0.005022143 -0.005474244 1000
lala 13 0.01875 1 second 0 1 13 3 2.84625 0.479997873306274 0 1 1 0 -0.01501306 -0.01512542 -0.01552454 -0.01538525 -0.01582554 1000 -0.007324894 -0.007482816 -0.007611845 -0.007411017 -0.007194099 1000 -0.01615814 -0.01645206 -0.0165927 -0.01625525 -0.01638727 1000 -0.007295274 -0.007386098 -0.0165927 -0.007058743 -0.007388703 1000
lala 14 0.009375 1 first 0 1 14 3 2.836875 0.599997758865356 0 1 1 1 -0.01672797 -0.01712289 -0.01731247 -0.0170031 -0.01679685 1000 -0.007578453 -0.008036762 -0.008839857 -0.008625007 -0.008914653 1000 -0.01688617 -0.01688801 -0.01676039 -0.01726853 -0.01697245 1000 -0.008906948 -0.008912561 -0.01676039 -0.00888739 -0.008838145 1000
lala 15 0.009375 1 first 0 1 15 3 2.8275 1.07999730110168 0 1 1 1 -0.01746924 -0.01768508 -0.01750011 -0.01791115 -0.01840227 1000 -0.008070605 -0.008058831 -0.008320547 -0.008164736 -0.008608525 1000 -0.01804184 -0.01792543 -0.01771613 -0.01763173 -0.0173556 1000 -0.009012206 -0.008991812 -0.01771613 -0.00874657 -0.008868838 1000
lala 16 0.009375 0 second 0 1 16 3 2.818125 3.59999513626099 0 1 -1 1 -0.01641116 -0.01626338 -0.0164693 -0.01654848 -0.01654438 1000 -0.008423978 -0.008403548 -0.008122449 -0.008384014 -0.008013814 1000 -0.01800713 -0.01737488 -0.0171826 -0.01729713 -0.01731291 1000 -0.008801397 -0.008548367 -0.0171826 -0.008853361 -0.008928883 1000
lala 17 0.0046875 0 first 0 1 17 3 2.822813 5.23999357223511 0 1 -1 0 -0.01520623 -0.01633589 -0.01668293 -0.01673258 -0.01659418 1000 -0.008924453 -0.009281117 -0.009895621 -0.01061127 -0.01041681 1000 -0.01553412 -0.0153882 -0.01519602 -0.01515084 -0.01535794 1000 -0.01027519 -0.01027413 -0.01519602 -0.01037321 -0.01007605 1000
lala 18 0.0046875 0 second 0 1 18 3 2.8275 1.83999681472778 0 1 -1 0 -0.01781922 -0.01768693 -0.01780558 -0.01796083 -0.01841261 1000 -0.0106226 -0.01078397 -0.0110139 -0.01071267 -0.0105813 1000 -0.0178073 -0.01769974 -0.01763395 -0.01757973 -0.01775 1000 -0.01041317 -0.01040678 -0.01763395 -0.01055738 -0.01068469 1000
lala 19 0.0046875 1 second 0 1 19 3 2.832188 0.379997968673706 0 1 1 0 -0.01847006 -0.01867811 -0.01919666 -0.01923633 -0.0196412 1000 -0.0103713 -0.01076415 -0.010808 -0.01063107 -0.01044688 1000 -0.01973806 -0.01947756 -0.01937748 -0.01950464 -0.01960869 1000 -0.01021193 -0.01036243 -0.01937748 -0.01053486 -0.01046382 1000
lala 20 0.00234375 1 second 0 1 20 3 2.829844 0.299998044967651 0 1 1 0 -0.01804623 -0.0183335 -0.01796205 -0.01783082 -0.01784782 1000 -0.002062453 -0.002433361 -0.002175571 -0.002354929 -0.002617047 1000 -0.01896408 -0.01912446 -0.01943468 -0.01976866 -0.0202615 1000 -0.00208975 -0.002062083 -0.01943468 -0.002032344 -0.001804316 1000
lala 21 0.00234375 1 first 0 1 21 3 2.8275 0.559997797012329 0 1 1 0 -0.02112296 -0.02059783 -0.02073232 -0.02070747 -0.02157272 1000 -0.0008521946 -0.0008736718 -0.0008598454 -0.0008354071 -0.0007409814 1000 -0.02171088 -0.02149583 -0.02150011 -0.02183077 -0.02187657 1000 -0.0008143192 -0.001123644 -0.02150011 -0.001487253 -0.001448196 1000
