subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeftxRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5 xRotations_second0 xRotations_second1 xRotations_second2 xRotations_second3 xRotations_second4 xRotations_second5 yRotations_second0 yRotations_second1 yRotations_second2 yRotations_second3 yRotations_second4 yRotations_second5
lala 1 1.2 0 second 8 1 1 5 3.3 5.98000192642212 1 0 -1 1 -0.02272769 -0.02007259 -0.020276 -0.01962399 -0.0198517 1000 -0.02272769 -0.02007259 -0.020276 -0.01962399 -0.0198517 1000 -0.03640356 -0.0401075 -0.04003587 -0.0381618 -0.04032375 1000 -0.03640356 -0.0401075 -0.04003587 -0.0381618 -0.04032375 1000
lala 1 1.2 1 second 17 1 2 6 7.98 1.35999703407288 0 1 1 0 -0.02526521 -0.02526112 -0.02536198 -0.02521636 -0.02606534 1000 -0.02526521 -0.02526112 -0.02536198 -0.02521636 -0.02606534 1000 -0.02645289 -0.02630617 -0.02613497 -0.02628532 -0.02631922 1000 -0.02645289 -0.02630617 -0.02613497 -0.02628532 -0.02631922 1000
lala 1 1.2 0 first 12 1 3 4 2.64 0.61999773979187 0 0 -1 0 -0.02419247 -0.02372865 -0.02380847 1000 1000 1000 -0.02419247 -0.02372865 -0.02380847 1000 1000 1000 -0.02426257 -0.02439878 -0.02438281 -0.02375735 -0.02339761 1000 -0.02426257 -0.02439878 -0.02438281 -0.02375735 -0.02339761 1000
lala 1 1.2 1 first 7 1 4 4 5.32 1.7199969291687 1 1 1 0 -0.02256962 -0.02254932 -0.02249243 1000 1000 1000 -0.02256962 -0.02254932 -0.02249243 1000 1000 1000 -0.02334266 -0.02306043 -0.02250431 -0.02276422 -0.02245964 1000 -0.02334266 -0.02306043 -0.02250431 -0.02276422 -0.02245964 1000
lala 2 1.2 1 first 8 1 5 5 4.5 3.87999486923218 1 0 1 1 -0.006652827 -0.007314619 -0.007525245 1000 1000 1000 -0.006652827 -0.007314619 -0.007525245 1000 1000 1000 -0.01424166 -0.0142242 -0.01404936 -0.01352347 -0.01304735 1000 -0.01424166 -0.0142242 -0.01404936 -0.01352347 -0.01304735 1000
lala 1 1.2 1 first 1 1 6 4 5.32 2.27999639511108 -1 1 1 0 -0.01331038 -0.01299465 -0.01286783 1000 1000 1000 -0.01331038 -0.01299465 -0.01286783 1000 1000 1000 -0.01403251 -0.01396 -0.01346012 -0.01339642 -0.01284819 1000 -0.01403251 -0.01396 -0.01346012 -0.01339642 -0.01284819 1000
lala 2 1.2 1 second 17 1 7 6 6.780001 1.55999684333801 0 1 1 0 -0.01329012 -0.01302676 -0.01269116 -0.01250902 -0.01234694 1000 -0.01329012 -0.01302676 -0.01269116 -0.01250902 -0.01234694 1000 -0.01048206 -0.01065724 -0.01116267 -0.01170899 -0.01154909 1000 -0.01048206 -0.01065724 -0.01116267 -0.01170899 -0.01154909 1000
lala 1 1.2 0 first 14 1 8 5 3.3 2.67999601364136 0 0 -1 1 -0.009819778 -0.01045184 -0.010363 1000 1000 1000 -0.009819778 -0.01045184 -0.010363 1000 1000 1000 -0.01218769 -0.01160959 -0.0112449 -0.01098786 -0.01114674 1000 -0.01218769 -0.01160959 -0.0112449 -0.01098786 -0.01114674 1000
lala 1 1.2 0 first 2 1 9 5 3.3 1.75999689102173 -1 0 -1 1 -0.01237843 -0.01236755 -0.01204653 1000 1000 1000 -0.01237843 -0.01236755 -0.01204653 1000 1000 1000 -0.01165413 -0.01167942 -0.01166353 -0.01163611 -0.01145783 1000 -0.01165413 -0.01167942 -0.01166353 -0.01163611 -0.01145783 1000
lala 2 1.2 0 first 7 1 10 4 4.12 2.89999580383301 1 1 -1 1 0.004944552 0.005661115 0.004064527 1000 1000 1000 0.004944552 0.005661115 0.004064527 1000 1000 1000 -0.005036391 -0.004659926 -0.004437018 -0.003947778 -0.00362678 1000 -0.005036391 -0.004659926 -0.004437018 -0.003947778 -0.00362678 1000
lala 3 1.2 0 first 8 1 11 5 3.3 0.799997568130493 1 0 -1 0 -0.004072345 -0.002974349 -0.003189653 1000 1000 1000 -0.004072345 -0.002974349 -0.003189653 1000 1000 1000 -0.006737287 -0.007991522 -0.01467454 -0.01700533 -0.01659737 1000 -0.006737287 -0.007991522 -0.01467454 -0.01700533 -0.01659737 1000
lala 1 1.2 1 second 5 1 12 6 7.98 3.6199951171875 -1 1 1 0 -0.01190252 -0.01263757 -0.01460633 -0.01653172 -0.01963788 1000 -0.01190252 -0.01263757 -0.01460633 -0.01653172 -0.01963788 1000 -0.009498409 -0.01020047 -0.01108959 -0.01104566 -0.01171042 1000 -0.009498409 -0.01020047 -0.01108959 -0.01104566 -0.01171042 1000
lala 1 1.2 1 first 9 1 13 5 6.65 0.639997720718384 1 1 1 0 -0.001345404 -0.002877836 -0.004736755 1000 1000 1000 -0.001345404 -0.002877836 -0.004736755 1000 1000 1000 -0.003168503 -0.003040449 -0.002323374 -0.002840412 -0.003349511 1000 -0.003168503 -0.003040449 -0.002323374 -0.002840412 -0.003349511 1000
lala 2 1.2 0 first 14 1 14 5 4.5 0.819997549057007 0 0 -1 0 -0.002041205 -0.002273152 -0.002478877 1000 1000 1000 -0.002041205 -0.002273152 -0.002478877 1000 1000 1000 -0.002362757 -0.002045743 -0.001761171 -0.001773516 -0.001516102 1000 -0.002362757 -0.002045743 -0.001761171 -0.001773516 -0.001516102 1000
lala 2 1.2 1 second 2 1 15 5 4.5 3.4799952507019 -1 0 1 1 7.576634E-05 0.0003706109 0.000557274 0.0003391039 0.0003114394 1000 7.576634E-05 0.0003706109 0.000557274 0.0003391039 0.0003114394 1000 0.005220269 -0.01051864 -0.01608169 -0.01617949 -0.01355724 1000 0.005220269 -0.01051864 -0.01608169 -0.01617949 -0.01355724 1000
lala 2 1.2 0 first 5 1 16 6 6.780001 2.81999588012695 -1 1 -1 1 -0.01501933 -0.01495412 -0.01466911 1000 1000 1000 -0.01501933 -0.01495412 -0.01466911 1000 1000 1000 -0.01674012 -0.01686595 -0.0164951 -0.0164398 -0.01642585 1000 -0.01674012 -0.01686595 -0.0164951 -0.0164398 -0.01642585 1000
lala 1 1.2 1 second 15 1 17 5 6.65 0.599997758865356 0 1 1 0 -0.01476387 -0.01509861 -0.01503074 -0.01467236 -0.01442176 1000 -0.01476387 -0.01509861 -0.01503074 -0.01467236 -0.01442176 1000 -0.01400255 -0.01410685 -0.01403917 -0.01453057 -0.01468211 1000 -0.01400255 -0.01410685 -0.01403917 -0.01453057 -0.01468211 1000
lala 3 1.2 1 first 5 1 18 6 7.98 1.8599967956543 -1 1 1 1 -0.01450776 -0.01420118 -0.01459133 1000 1000 1000 -0.01450776 -0.01420118 -0.01459133 1000 1000 1000 -0.01556212 -0.01544342 -0.01499898 -0.01466555 -0.01463815 1000 -0.01556212 -0.01544342 -0.01499898 -0.01466555 -0.01463815 1000
lala 3 1.2 0 first 7 1 19 4 5.32 2.51999616622925 1 1 -1 0 -0.01445406 -0.01474293 -0.01461184 1000 1000 1000 -0.01445406 -0.01474293 -0.01461184 1000 1000 1000 -0.01570107 -0.01534528 -0.01504551 -0.01504515 -0.01499267 1000 -0.01570107 -0.01534528 -0.01504551 -0.01504515 -0.01499267 1000
lala 2 1.2 0 second 1 1 20 4 4.12 0.579997777938843 -1 1 -1 1 -0.01543561 -0.01572272 -0.01603995 -0.01603904 -0.01602468 1000 -0.01543561 -0.01572272 -0.01603995 -0.01603904 -0.01602468 1000 -0.0167132 -0.01666673 -0.01643776 -0.01668727 -0.01692474 1000 -0.0167132 -0.01666673 -0.01643776 -0.01668727 -0.01692474 1000
lala 2 1.2 1 first 12 1 21 4 3.84 1.31999707221985 0 0 1 0 -0.01620562 -0.01657979 -0.01697158 1000 1000 1000 -0.01620562 -0.01657979 -0.01697158 1000 1000 1000 -0.0179016 -0.01767211 -0.01725645 -0.0169731 -0.0167596 1000 -0.0179016 -0.01767211 -0.01725645 -0.0169731 -0.0167596 1000
lala 1 1.2 1 first 13 1 22 4 5.32 2.45999622344971 0 1 1 1 -0.01784601 -0.0179712 -0.01801809 1000 1000 1000 -0.01784601 -0.0179712 -0.01801809 1000 1000 1000 -0.0180686 -0.01797149 -0.01786012 -0.01832414 -0.01873033 1000 -0.0180686 -0.01797149 -0.01786012 -0.01832414 -0.01873033 1000
lala 4 1.2 1 second 8 1 23 5 4.5 2.37999629974365 1 0 1 1 -0.02142488 -0.02166984 -0.02145571 -0.02131187 -0.02126141 1000 -0.02142488 -0.02166984 -0.02145571 -0.02131187 -0.02126141 1000 -0.02144434 -0.02125639 -0.02128622 -0.02097041 -0.02081891 1000 -0.02144434 -0.02125639 -0.02128622 -0.02097041 -0.02081891 1000
lala 5 1.2 0 second 8 1 24 5 3.3 2.79999589920044 1 0 -1 1 -0.02198598 -0.02247261 -0.02267766 -0.02279788 -0.0230494 1000 -0.02198598 -0.02247261 -0.02267766 -0.02279788 -0.0230494 1000 -0.02334039 -0.02328238 -0.02347744 -0.02344588 -0.02311341 1000 -0.02334039 -0.02328238 -0.02347744 -0.02344588 -0.02311341 1000
lala 1 1.2 0 second 6 1 25 4 2.64 1.83999681472778 1 0 -1 0 -0.02450857 -0.02443871 -0.02452811 -0.02453601 -0.0252557 1000 -0.02450857 -0.02443871 -0.02452811 -0.02453601 -0.0252557 1000 -0.02579452 -0.02515761 -0.02452427 -0.02423448 -0.02412514 1000 -0.02579452 -0.02515761 -0.02452427 -0.02423448 -0.02412514 1000
lala 2 1.2 1 second 6 1 26 4 3.84 2.57999610900879 1 0 1 0 -0.02406953 -0.02420249 -0.02454891 -0.02498565 -0.02541037 1000 -0.02406953 -0.02420249 -0.02454891 -0.02498565 -0.02541037 1000 -0.02610184 -0.02630226 -0.02626667 -0.0261406 -0.02623175 1000 -0.02610184 -0.02630226 -0.02626667 -0.0261406 -0.02623175 1000
