trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 4.199997 4.5 0.55 0 -0.0146412 -0.007238003 -0.003774706 -0.003375679 -0.004801539 1000 -0.004042351 -0.005410718 -0.003285324 0.001740371 0.01121406 1000
2 6.919994 2.5 0.55 0 -0.01088166 -0.01159493 -0.01217952 -0.01238333 -0.01281442 1000 0.02289104 0.02195182 0.02151718 0.0217127 0.02191758 1000
3 4.859996 3.5 0.55 0 -0.01381415 -0.01378204 -0.01411196 -0.0144416 -0.014714 1000 0.01430278 0.01212012 0.01086219 0.01246896 0.01262719 1000
4 6.479995 -2.5 0.55 0 -0.01596655 -0.01520374 -0.01478822 -0.01245737 -0.01185691 1000 0.011695 0.01328021 0.01395015 0.01380133 0.01359671 1000
5 2.439998 3.5 0.45 0 -0.01690824 -0.01680978 -0.01654905 -0.01632129 -0.01627604 1000 0.009235045 0.008640627 0.008014973 0.0084032 0.008513022 1000
6 10.62005 -2.5 0.45 0 -0.0204737 -0.02013619 -0.0188815 -0.01747725 -0.016478 1000 0.025476 0.03124171 0.03119965 0.02639737 0.02422218 1000
7 13.98013 4.5 0.45 0 -0.02015697 -0.01889015 -0.01707496 -0.0166962 -0.01676895 1000 0.01021708 0.010883 0.01067338 0.0110893 0.01167363 1000
8 0.3 -3.5 0.45 0 -0.02291325 -0.02127858 -0.02014292 -0.01947308 -0.02053284 1000 0.01893619 0.01783341 0.0159181 0.01425683 0.01460979 1000
9 0.9599996 4.5 0.65 0 -0.02265999 -0.02055868 -0.01983768 -0.0197482 -0.02084843 1000 0.006441895 0.004244588 0.00269354 0.005237414 0.01198063 1000
10 0.28 -3.5 0.65 0 -0.0134516 -0.01070029 -0.01149087 -0.01088295 -0.01153276 1000 0.02045189 0.01704989 0.0131445 0.008629246 0.009122781 1000
11 0.2 -4.5 0.55 0 -0.02354077 -0.02238982 -0.02209198 -0.02206161 -0.02147591 1000 -0.005398873 -0.004614498 -0.00401193 -0.004642468 -0.005927561 1000
12 0.28 2.5 0.65 0 -0.01166373 -0.00981693 -0.0124831 -0.0122452 -0.01168507 1000 0.0007897775 -0.01021032 -2.431229E-05 0.006719908 0.01426146 1000
13 0.6799999 -4.5 0.65 0 -0.01633582 -0.01703591 -0.01927699 -0.01701935 -0.01715769 1000 0.02124608 0.01510293 0.01146015 0.01103148 0.01112139 1000
14 0.28 -2.5 0.65 0 -0.01537246 -0.01338792 -0.0175238 -0.01610162 -0.01614659 1000 0.00662567 0.01124209 0.01567978 0.01439794 0.01297554 1000
15 0.52 2.5 0.45 0 -0.01839183 -0.0181533 -0.02056334 -0.02196834 -0.02226339 1000 0.01166311 0.007969978 0.01616655 0.01921175 0.01926866 1000
16 0.6199999 3.5 0.65 0 -0.02487872 -0.02551057 -0.02690673 -0.02685559 -0.02633745 1000 0.01605343 0.01725055 0.01771304 0.01755815 0.01807857 1000
17 0.26 -3.5 0.55 0 -0.01589911 -0.01823717 -0.02571266 -0.02928109 -0.02954756 1000 0.004432658 0.003776054 0.004125612 0.002768784 0.001399621 1000
18 0.42 -4.5 0.45 0 -0.02214956 -0.02312536 -0.02481057 -0.02553053 -0.0262026 1000 0.0179606 0.009897734 0.007085328 0.008954501 0.008609056 1000
