subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeftxRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5 xRotations_second0 xRotations_second1 xRotations_second2 xRotations_second3 xRotations_second4 xRotations_second5 yRotations_second0 yRotations_second1 yRotations_second2 yRotations_second3 yRotations_second4 yRotations_second5
lala 1 1.2 1 second 0 1 1 3 3.99 3.81999492645264 0 1 1 1 0.005961629 0.002721509 -0.004510986 -0.00330282 9.013902E-05 1000 -0.001001485 0.001368412 0.004651624 0.006225945 0.005608612 1000 -0.001256511 0.0003941369 0.001589583 0.001514582 0.001201487 1000 0.0188251 0.01442488 0.001589583 0.01338667 0.01331903 1000
lala 2 1.2 0 second 0 1 2 3 2.79 2.69999599456787 0 1 -1 1 -0.005720346 -0.005315788 -0.005672403 -0.005921076 -0.006231856 1000 0.01230078 0.01196954 0.01264473 0.01320092 0.0131958 1000 -0.006737481 -0.007102766 -0.007210163 -0.007537185 -0.007843249 1000 0.01274537 0.01278903 -0.007210163 0.01295865 0.01278962 1000
lala 3 1.2 1 first 0 1 3 3 3.99 2.57999610900879 0 1 1 0 -0.009814939 -0.01582173 -0.02093118 -0.02144562 -0.02407732 1000 0.01433945 0.0156488 0.01904439 0.01961785 0.01727634 1000 -0.0204882 -0.01876375 -0.02019689 -0.02024515 -0.01914164 1000 0.01265918 0.009327277 -0.02019689 0.009352003 0.009067608 1000
lala 4 1.2 0 second 0 1 4 3 2.79 2.7399959564209 0 1 -1 1 -0.02019785 -0.02014733 -0.01955251 -0.01945221 -0.01975542 1000 0.00932023 0.00902198 0.009018107 0.009453559 0.009209356 1000 -0.02063591 -0.02082176 -0.02056831 -0.02075589 -0.02104746 1000 0.009081852 0.009340892 -0.02056831 0.009952271 0.01050048 1000
lala 5 0.6 1 second 0 1 5 3 3.39 0.519997835159302 0 1 1 1 -0.006567609 -0.006873415 -0.006876389 -0.006694485 -0.006866788 1000 -0.001717834 -0.002257019 -0.002573961 -0.002918812 -0.002529019 1000 -0.007216519 -0.007189017 -0.007465661 -0.007770204 -0.008047662 1000 -0.003678634 -0.00383092 -0.007465661 -0.003029925 -0.003276102 1000
lala 6 0.3 1 second 0 1 6 3 3.09 0.659997701644897 0 1 1 1 -0.01136325 -0.01114292 -0.01124531 -0.01154043 -0.01168462 1000 -0.003971613 -0.004174627 -0.004151868 -0.003974452 -0.004409751 1000 -0.01252654 -0.01285698 -0.01277975 -0.01315708 -0.01309569 1000 -0.004393917 -0.004102043 -0.01277975 -0.003494538 -0.003532224 1000
lala 7 0.3 0 second 0 1 7 3 2.79 0.079998254776001 0 1 -1 1 -0.01356497 -0.01370708 -0.01358965 -0.01391839 -0.01383203 1000 -0.002492575 -0.002226745 -0.002491751 -0.002220414 -0.002518676 1000 -0.01381195 -0.01389059 -0.01397304 -0.01409478 -0.01395799 1000 -0.002920314 -0.002804652 -0.01397304 -0.00220415 -0.001873118 1000
lala 8 0.15 1 first 0 1 8 3 2.940001 0.61999773979187 0 1 1 0 -0.01443092 -0.01467118 -0.01467452 -0.01445853 -0.01451986 1000 -0.002010929 -0.001921263 -0.0018764 -0.002120788 -0.002230094 1000 -0.01422069 -0.01417159 -0.01434445 -0.01434182 -0.01437705 1000 -0.002493998 -0.003011883 -0.01434445 -0.002713878 -0.002802527 1000
lala 9 0.075 0 first 0 1 9 3 2.865 0.279998064041138 0 1 -1 1 -0.01555613 -0.01552432 -0.01570414 -0.01600486 -0.01585275 1000 -0.00315983 -0.003283795 -0.003139974 -0.0030464 -0.003370457 1000 -0.01614438 -0.01592365 -0.01583624 -0.0161673 -0.01644517 1000 -0.00341218 -0.00341067 -0.01583624 -0.003550739 -0.003741767 1000
lala 10 0.0375 0 first 0 1 10 3 2.9025 1.11999726295471 0 1 -1 0 -0.00151201 -0.00233241 -0.003057075 -0.003184025 -0.003450378 1000 -0.003887228 -0.003436151 -0.002968689 -0.003645967 -0.003296072 1000 -0.005449354 -0.005916222 -0.005930979 -0.005902454 -0.005736372 1000 -0.004099258 -0.004486025 -0.005930979 -0.005208284 -0.005417658 1000
lala 11 0.0375 0 first 0 1 11 3 2.94 0.459997892379761 0 1 -1 0 -0.01172385 -0.01149427 -0.01170991 -0.01152833 -0.0115251 1000 -0.005736574 -0.006250052 -0.006303226 -0.005929721 -0.006313849 1000 -0.01126743 -0.01104044 -0.0108973 -0.01103982 -0.01095777 1000 -0.006049428 -0.005579135 -0.0108973 -0.005466739 -0.005689471 1000
lala 12 0.0375 0 first 0 1 12 3 2.9775 0.419997930526733 0 1 -1 0 -0.01209655 -0.01187205 -0.0119103 -0.01221177 -0.01210733 1000 -0.005100718 -0.005509924 -0.00552002 -0.005670166 -0.005916087 1000 -0.01185259 -0.01217768 -0.01207107 -0.01223414 -0.01251701 1000 -0.007034801 -0.006858747 -0.01207107 -0.007055871 -0.006942456 1000
lala 13 0.075 0 second 0 1 13 3 3.0525 3.85999488830566 0 1 -1 0 -0.0127328 -0.0124581 -0.01263814 -0.01298667 -0.01279675 1000 -0.005063644 -0.005514894 -0.005316442 -0.005390257 -0.005595472 1000 -0.0130935 -0.01336101 -0.01384696 -0.01378641 -0.01335415 1000 -0.00525065 -0.00554803 -0.01384696 -0.005333115 -0.005520523 1000
lala 14 0.15 1 second 0 1 14 3 3.2025 0.0399982929229736 0 1 1 0 -0.01266816 -0.01301778 -0.01316896 -0.01328584 -0.01347742 1000 -0.01012236 -0.01017624 -0.009950593 -0.01007404 -0.009816673 1000 -0.01381946 -0.01419409 -0.01411152 -0.01392747 -0.01393865 1000 -0.009966477 -0.009859474 -0.01411152 -0.01033979 -0.01012308 1000
