subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeftxRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5 xRotations_second0 xRotations_second1 xRotations_second2 xRotations_second3 xRotations_second4 xRotations_second5 yRotations_second0 yRotations_second1 yRotations_second2 yRotations_second3 yRotations_second4 yRotations_second5
lala 1 1.2 0 first 9 1 1 5 6.65 0.379997968673706 1 1 -1 0 0.00593438 0.01820006 0.01481279 0.01238843 0.005243863 0.0007550281 0.00593438 0.01820006 0.01481279 0.01238843 0.005243863 0.0007550281 -0.001906199 -0.001254679 -0.0002880919 -0.0007271979 -0.0017057 1000 -0.001906199 -0.001254679 -0.0002880919 -0.0007271979 -0.0017057 1000
lala 1 1.2 0 first 14 1 2 5 3.3 0.01999831199646 0 0 -1 1 0.002408985 0.003572115 0.004091849 1000 1000 1000 0.002408985 0.003572115 0.004091849 1000 1000 1000 0.006335002 0.006601831 0.008293552 0.009023514 0.009418393 1000 0.006335002 0.006601831 0.008293552 0.009023514 0.009418393 1000
lala 1 1.2 1 first 3 1 3 5 6.65 0.499997854232788 -1 1 1 1 0.01123931 0.01154839 0.01131575 1000 1000 1000 0.01123931 0.01154839 0.01131575 1000 1000 1000 0.01109476 0.01090705 0.01125731 0.01135758 0.01152345 1000 0.01109476 0.01090705 0.01125731 0.01135758 0.01152345 1000
lala 1 1.2 0 first 2 1 4 5 3.3 0.0399982929229736 -1 0 -1 0 0.01178718 0.01227519 0.01232207 1000 1000 1000 0.01178718 0.01227519 0.01232207 1000 1000 1000 0.01254259 0.0124264 0.01213912 0.01217736 0.01193712 1000 0.01254259 0.0124264 0.01213912 0.01217736 0.01193712 1000
lala 1 1.2 0 first 4 1 5 6 3.96 0.459997892379761 -1 0 -1 0 0.01203065 0.01260941 0.01229637 1000 1000 1000 0.01203065 0.01260941 0.01229637 1000 1000 1000 0.01296552 0.01346136 0.01445198 0.01467752 0.01520063 1000 0.01296552 0.01346136 0.01445198 0.01467752 0.01520063 1000
lala 1 1.2 1 second 13 1 6 4 5.32 0.01999831199646 0 1 1 0 0.01375044 0.01263088 0.01297453 0.01336384 0.01357846 1000 0.01375044 0.01263088 0.01297453 0.01336384 0.01357846 1000 0.01320514 0.01355704 0.01366263 0.01352552 0.01419069 1000 0.01320514 0.01355704 0.01366263 0.01352552 0.01419069 1000
lala 1 1.2 0 first 6 1 7 4 2.64 0.459997892379761 1 0 -1 1 0.01242193 0.012044 0.01206277 1000 1000 1000 0.01242193 0.012044 0.01206277 1000 1000 1000 0.01432007 0.01540839 0.0159781 0.01606879 0.01601912 1000 0.01432007 0.01540839 0.0159781 0.01606879 0.01601912 1000
lala 1 1.2 1 second 17 1 8 6 7.98 0.01999831199646 0 1 1 1 0.01744185 0.0170262 0.01696954 0.0163671 0.01623564 1000 0.01744185 0.0170262 0.01696954 0.0163671 0.01623564 1000 0.01547898 0.01469479 0.01348863 0.01425481 0.01308099 1000 0.01547898 0.01469479 0.01348863 0.01425481 0.01308099 1000
lala 2 1.2 0 second 13 1 9 4 4.12 0.379997968673706 0 1 -1 0 -0.001869234 -0.0005518724 0.002250425 0.005169114 0.006017293 1000 -0.001869234 -0.0005518724 0.002250425 0.005169114 0.006017293 1000 0.008994577 0.009388635 0.01017267 0.01030578 0.009593321 1000 0.008994577 0.009388635 0.01017267 0.01030578 0.009593321 1000
lala 2 1.2 0 first 3 1 10 5 5.45 0.539997816085815 -1 1 -1 0 0.009764142 0.01067056 0.01155789 1000 1000 1000 0.009764142 0.01067056 0.01155789 1000 1000 1000 0.01313808 0.01307365 0.01365569 0.01340055 0.01341685 1000 0.01313808 0.01307365 0.01365569 0.01340055 0.01341685 1000
lala 2 1.2 1 second 14 1 11 5 4.5 1.43999695777893 0 0 1 1 0.01580711 0.01585258 0.01624923 0.01617894 0.01633899 1000 0.01580711 0.01585258 0.01624923 0.01617894 0.01633899 1000 0.01745406 0.01761599 0.01788083 0.01779368 0.0178899 1000 0.01745406 0.01761599 0.01788083 0.01779368 0.0178899 1000
lala 2 1.2 0 second 6 1 12 4 3.84 1.29999709129334 1 0 -1 1 0.01636179 0.01640552 0.01676272 0.01676055 0.01674076 1000 0.01636179 0.01640552 0.01676272 0.01676055 0.01674076 1000 0.01656942 0.01644382 0.01699361 0.0173127 0.01701895 1000 0.01656942 0.01644382 0.01699361 0.0173127 0.01701895 1000
lala 1 1.2 0 second 12 1 13 4 2.64 0.739997625350952 0 0 -1 0 0.01913857 0.01911422 0.01927604 0.01905738 0.01959733 1000 0.01913857 0.01911422 0.01927604 0.01905738 0.01959733 1000 0.02059491 0.02047066 0.02070391 0.02055877 0.02099828 1000 0.02059491 0.02047066 0.02070391 0.02055877 0.02099828 1000
lala 3 1.2 1 second 13 1 14 4 5.32 0.339998006820679 0 1 1 1 0.02108073 0.02126811 0.02158264 0.02151661 0.02131981 1000 0.02108073 0.02126811 0.02158264 0.02151661 0.02131981 1000 0.02230602 0.02225147 0.02209812 0.02243369 0.02245091 1000 0.02230602 0.02225147 0.02209812 0.02243369 0.02245091 1000
lala 3 1.2 1 second 3 1 15 5 6.65 1.23999714851379 -1 1 1 0 0.02287539 0.02313842 0.02295042 0.02286551 0.02310815 1000 0.02287539 0.02313842 0.02295042 0.02286551 0.02310815 1000 0.02202676 0.02264638 0.02298597 0.02269858 0.02239875 1000 0.02202676 0.02264638 0.02298597 0.02269858 0.02239875 1000
lala 2 1.2 1 first 4 1 16 6 5.16 0.459997892379761 -1 0 1 1 0.02163036 0.02161109 0.02219 1000 1000 1000 0.02163036 0.02161109 0.02219 1000 1000 1000 0.01923327 0.01926501 0.01963316 0.01929827 0.01989722 1000 0.01923327 0.01926501 0.01963316 0.01929827 0.01989722 1000
lala 3 1.2 0 first 6 1 17 4 5.04 0.219998121261597 1 0 -1 0 0.02139695 0.02164214 0.02167899 1000 1000 1000 0.02139695 0.02164214 0.02167899 1000 1000 1000 0.02278356 0.02259698 0.02303818 0.02288346 0.02233481 1000 0.02278356 0.02259698 0.02303818 0.02288346 0.02233481 1000
lala 2 1.2 1 second 9 1 18 5 7.85 0.179998159408569 1 1 1 0 0.02088342 0.02122194 0.02110464 0.02089192 0.02084616 1000 0.02088342 0.02122194 0.02110464 0.02089192 0.02084616 1000 0.02112514 0.02093089 0.02149284 0.02181108 0.02172001 1000 0.02112514 0.02093089 0.02149284 0.02181108 0.02172001 1000
lala 1 1.2 1 second 1 1 19 4 5.32 0.199998140335083 -1 1 1 1 0.02141693 0.02139404 0.02222188 0.02221937 0.02198553 1000 0.02141693 0.02139404 0.02222188 0.02221937 0.02198553 1000 0.02297152 0.02318612 0.0228157 0.02320015 0.02442842 1000 0.02297152 0.02318612 0.0228157 0.02320015 0.02442842 1000
lala 4 1.2 1 second 6 1 20 4 6.24 0.39999794960022 1 0 1 1 0.0221797 0.02183658 0.02202142 0.02138858 0.02171971 1000 0.0221797 0.02183658 0.02202142 0.02138858 0.02171971 1000 0.02104126 0.02070577 0.02049262 0.02081391 0.021031 1000 0.02104126 0.02070577 0.02049262 0.02081391 0.021031 1000
lala 1 1.2 1 first 0 1 21 4 2.64 0.839997529983521 -1 0 1 0 0.01988977 0.01916955 0.01862974 1000 1000 1000 0.01988977 0.01916955 0.01862974 1000 1000 1000 0.02012059 0.02018298 0.0209624 0.02130562 0.02072884 1000 0.02012059 0.02018298 0.0209624 0.02130562 0.02072884 1000
lala 1 1.2 1 first 15 1 22 5 6.65 0.539997816085815 0 1 1 1 0.02244294 0.02235829 0.02233136 1000 1000 1000 0.02244294 0.02235829 0.02233136 1000 1000 1000 0.0219576 0.02189443 0.02171372 0.021447 0.02175239 1000 0.0219576 0.02189443 0.02171372 0.021447 0.02175239 1000
lala 1 1.2 0 first 16 1 23 6 3.96 0.419997930526733 0 0 -1 0 0.02127013 0.02121635 0.02108243 1000 1000 1000 0.02127013 0.02121635 0.02108243 1000 1000 1000 0.02109847 0.02214275 0.02158693 0.02135672 0.02123922 1000 0.02109847 0.02214275 0.02158693 0.02135672 0.02123922 1000
lala 2 1.2 0 first 12 1 24 4 3.84 1.79999685287476 0 0 -1 1 0.01879285 0.01811524 0.018777 1000 1000 1000 0.01879285 0.01811524 0.018777 1000 1000 1000 0.02067881 0.02087024 0.02082917 0.02069689 0.02018579 1000 0.02067881 0.02087024 0.02082917 0.02069689 0.02018579 1000
lala 3 1.2 1 second 14 1 25 5 3.3 0.299998044967651 0 0 1 1 0.02152634 0.02137581 0.02106527 0.02175862 0.02214401 1000 0.02152634 0.02137581 0.02106527 0.02175862 0.02214401 1000 0.02295882 0.02316594 0.02293701 0.0231582 0.02282708 1000 0.02295882 0.02316594 0.02293701 0.0231582 0.02282708 1000
lala 1 1.2 1 second 8 1 26 5 3.3 0.459997892379761 1 0 1 0 0.02328285 0.02302765 0.02294447 0.02214743 0.02147255 1000 0.02328285 0.02302765 0.02294447 0.02214743 0.02147255 1000 0.02235157 0.02216757 0.02197732 0.02204556 0.02186948 1000 0.02235157 0.02216757 0.02197732 0.02204556 0.02186948 1000
lala 4 1.2 1 second 3 1 27 5 5.45 1.0999972820282 -1 1 1 1 0.02158405 0.02153567 0.0227541 0.02232923 0.02204869 1000 0.02158405 0.02153567 0.0227541 0.02232923 0.02204869 1000 0.02287361 0.02296756 0.02247566 0.02239909 0.02299051 1000 0.02287361 0.02296756 0.02247566 0.02239909 0.02299051 1000
lala 2 1.2 1 second 8 1 28 5 2.1 1.55999684333801 1 0 1 1 0.02198801 0.02278103 0.02279611 0.02251096 0.02249767 1000 0.02198801 0.02278103 0.02279611 0.02251096 0.02249767 1000 0.02264763 0.02237135 0.0229733 0.02301506 0.02275068 1000 0.02264763 0.02237135 0.0229733 0.02301506 0.02275068 1000
lala 1 1.2 1 second 11 1 29 6 7.98 0.39999794960022 1 1 1 0 0.02074216 0.02132959 0.02186669 0.0220296 0.02184646 1000 0.02074216 0.02132959 0.02186669 0.0220296 0.02184646 1000 0.02265362 0.02234737 0.02218587 0.02283136 0.02244051 1000 0.02265362 0.02234737 0.02218587 0.02283136 0.02244051 1000
lala 3 1.2 1 second 12 1 30 4 5.04 0.339998006820679 0 0 1 1 0.02047925 0.02088532 0.02084974 0.02042533 0.01989865 1000 0.02047925 0.02088532 0.02084974 0.02042533 0.01989865 1000 0.02052323 0.01992134 0.02005638 0.02067586 0.02061114 1000 0.02052323 0.01992134 0.02005638 0.02067586 0.02061114 1000
lala 2 1.2 0 first 0 1 31 4 1.44 1.77999687194824 -1 0 -1 1 0.02137135 0.02146396 0.02120151 1000 1000 1000 0.02137135 0.02146396 0.02120151 1000 1000 1000 0.02128037 0.02190266 0.02172172 0.02141603 0.02105051 1000 0.02128037 0.02190266 0.02172172 0.02141603 0.02105051 1000
lala 3 1.2 0 second 4 1 32 6 3.96 0.279998064041138 -1 0 -1 0 0.02304165 0.02287036 0.02242091 0.02250948 0.02260595 1000 0.02304165 0.02287036 0.02242091 0.02250948 0.02260595 1000 0.02244999 0.02241001 0.02279474 0.02203781 0.02133954 1000 0.02244999 0.02241001 0.02279474 0.02203781 0.02133954 1000
lala 2 1.2 1 first 16 1 33 6 5.16 0.01999831199646 0 0 1 0 0.02074584 0.0204543 0.02075049 1000 1000 1000 0.02074584 0.0204543 0.02075049 1000 1000 1000 0.01270289 0.01321143 0.01339813 0.01300693 0.01291777 1000 0.01270289 0.01321143 0.01339813 0.01300693 0.01291777 1000
lala 3 1.2 0 first 16 1 34 6 3.96 0.519997835159302 0 0 -1 0 0.01712285 0.01803188 0.01482253 1000 1000 1000 0.01712285 0.01803188 0.01482253 1000 1000 1000 0.0188914 0.01993476 0.02090649 0.02094683 0.02045047 1000 0.0188914 0.01993476 0.02090649 0.02094683 0.02045047 1000
lala 4 1.2 0 second 14 1 35 5 2.1 2.75999593734741 0 0 -1 0 0.0220038 0.02172657 0.02176898 0.02198606 0.02215142 1000 0.0220038 0.02172657 0.02176898 0.02198606 0.02215142 1000 0.02331024 0.02317746 0.02362437 0.02341258 0.02353124 1000 0.02331024 0.02317746 0.02362437 0.02341258 0.02353124 1000
lala 4 1.2 1 first 16 1 36 6 5.16 0.39999794960022 0 0 1 1 0.02133032 0.02124255 0.02173658 1000 1000 1000 0.02133032 0.02124255 0.02173658 1000 1000 1000 0.02188365 0.02243735 0.02285789 0.02267385 0.02281802 1000 0.02188365 0.02243735 0.02285789 0.02267385 0.02281802 1000
lala 4 1.2 0 first 4 1 37 6 5.16 1.3999969959259 -1 0 -1 0 0.02347542 0.02364752 0.02454208 1000 1000 1000 0.02347542 0.02364752 0.02454208 1000 1000 1000 0.0244975 0.02404425 0.0235905 0.02372308 0.02316012 1000 0.0244975 0.02404425 0.0235905 0.02372308 0.02316012 1000
lala 2 1.2 1 first 15 1 38 5 5.45 2.41999626159668 0 1 1 0 0.0243054 0.02325336 0.0233108 1000 1000 1000 0.0243054 0.02325336 0.0233108 1000 1000 1000 0.02152891 0.02175067 0.02234674 0.02268809 0.02280165 1000 0.02152891 0.02175067 0.02234674 0.02268809 0.02280165 1000
