trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 0.18 -2.5 0.55 0 -0.008940843 -0.003166345 0.0006339232 0.0005257687 -0.001295356 1000 0.002362107 0.005049013 0.006125751 0.005689381 0.003636855 1000
2 0.4400001 3.5 0.55 0 -0.004072856 -0.006332862 -0.007683665 -0.006461029 -0.006237181 1000 0.0006490278 -0.001295627 -0.003345476 -0.002330158 -0.001167441 1000
3 0.32 2.5 0.45 0 -0.01231026 -0.01205495 -0.0115936 -0.01140673 -0.01152175 1000 -0.004367373 -0.004079504 -0.002855431 -0.003053759 -0.003056954 1000
4 0.32 -3.5 0.55 0 -0.0134822 -0.01311928 -0.01301469 -0.01336387 -0.01314388 1000 -0.00250734 -0.002453938 -0.002328079 -0.002514554 -0.002785133 1000
5 0.6 -3.5 0.45 0 -0.01465511 -0.01474149 -0.01447425 -0.01469976 -0.01440601 1000 -0.003371121 -0.00362897 -0.004071221 -0.003960411 -0.004210593 1000
6 0.36 2.5 0.55 0 -0.01487809 -0.01507039 -0.01480953 -0.0140745 -0.01425001 1000 -0.004776841 -0.004733641 -0.004740583 -0.00458118 -0.004320633 1000
7 0.6799999 3.5 0.65 0 -0.01588724 -0.01597232 -0.01521327 -0.01477287 -0.01452579 1000 -0.003629345 -0.004004988 -0.003726579 -0.00376715 -0.004148802 1000
8 0.6199999 2.5 0.65 0 -0.01729914 -0.01668614 -0.01662878 -0.01613256 -0.0153102 1000 -0.004980304 -0.004805946 -0.004497507 -0.004548801 -0.004620197 1000
9 1.02 4.5 0.65 0 -0.01683095 -0.01668289 -0.01667213 -0.01680792 -0.01651382 1000 -0.004893599 -0.004790638 -0.005087785 -0.004859974 -0.004439939 1000
10 0.8599997 -4.5 0.65 0 -0.01846633 -0.01847992 -0.01850433 -0.01810463 -0.01779505 1000 -0.003427489 -0.003522116 -0.003222424 -0.003770577 -0.003291788 1000
11 0.6 4.5 0.55 0 -0.01851941 -0.01842991 -0.01837581 -0.01843998 -0.01801692 1000 -0.004999751 -0.005396434 -0.005337414 -0.005394231 -0.004592058 1000
12 0.52 -3.5 0.65 0 -0.01971391 -0.01872507 -0.01817683 -0.0182566 -0.018148 1000 -0.005608638 -0.005663065 -0.005561555 -0.00560433 -0.005798853 1000
13 0.6599999 3.5 0.45 0 -0.01619189 -0.01600635 -0.01638478 -0.01681459 -0.01643731 1000 -0.007059289 -0.006887399 -0.00648717 -0.006663391 -0.006639317 1000
14 0.54 -2.5 0.65 0 -0.01432157 -0.01391903 -0.01331789 -0.01324711 -0.0133576 1000 -0.006731395 -0.006386856 -0.006839203 -0.007223053 -0.007055496 1000
15 0.42 -2.5 0.45 0 -0.01531807 -0.01503146 -0.01542498 -0.01536758 -0.01435493 1000 -0.00742191 -0.007300561 -0.007256079 -0.007692601 -0.007696375 1000
16 0.6799999 -4.5 0.55 0 -0.01439901 -0.01473792 -0.01412464 -0.01367803 -0.01381968 1000 -0.00756403 -0.007674328 -0.007712023 -0.007598942 -0.00768279 1000
17 0.58 4.5 0.45 0 -0.01300705 -0.01264147 -0.01263488 -0.01321934 -0.01324503 1000 -0.007585012 -0.007299682 -0.007225298 -0.007112606 -0.007060291 1000
18 0.54 -4.5 0.45 0 -0.01320859 -0.01288886 -0.01280753 -0.01249226 -0.01265006 1000 -0.007545042 -0.007131039 -0.007489569 -0.007460198 -0.0074447 1000
